Komoditas;Tahun;Bulan;Harga
Sapi Hidup (Rp/kg Berat Hidup);2020;Juni;Rp48.635
Ayam Ras (Rp/Ekor Hidup);2020;Juni;Rp23.997
Telur Ayam Ras (Rp/Kg);2020;Juni;Rp21.131
GKP Tingkat Petani (Rp/Kg);2020;Juli;Rp4.591
GKP Tingkat Penggilingan (Rp/Kg);2020;Juli;Rp4.771
GKG Tingkat Penggilingan (Rp/Kg);2020;Juli;Rp5.457
Beras Medium Tk. Penggilingan (Rp/Kg);2020;Juli;Rp9.234
Beras Premium Tk. Penggilingan (Rp/Kg);2020;Juli;Rp10.338
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;Juli;Rp3.517
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;Juli;Rp6.787
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;Juli;Rp15.149
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;Juli;Rp19.013
Bawang Merah Tk. Petani (Rp/Kg);2020;Juli;Rp23.590
Sapi Hidup (Rp/kg Berat Hidup);2020;Juli;Rp49.115
Ayam Ras (Rp/Ekor Hidup);2020;Juli;Rp21.127
Telur Ayam Ras (Rp/Kg);2020;Juli;Rp21.900
GKP Tingkat Petani (Rp/Kg);2020;Agustus;Rp4.630
GKP Tingkat Penggilingan (Rp/Kg);2020;Agustus;Rp4.830
GKG Tingkat Penggilingan (Rp/Kg);2020;Agustus;Rp5.488
Beras Medium Tk. Penggilingan (Rp/Kg);2020;Agustus;Rp9.245
Beras Premium Tk. Penggilingan (Rp/Kg);2020;Agustus;Rp10.379
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;Agustus;Rp3.441
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;Agustus;Rp6.728
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;Agustus;Rp16.307
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;Agustus;Rp19.228
Bawang Merah Tk. Petani (Rp/Kg);2020;Agustus;Rp19.514
Sapi Hidup (Rp/kg Berat Hidup);2020;Agustus;Rp48.668
Ayam Ras (Rp/Ekor Hidup);2020;Agustus;Rp17.829
Telur Ayam Ras (Rp/Kg);2020;Agustus;Rp21.592
GKP Tingkat Petani (Rp/Kg);2020;September;Rp4.637
GKP Tingkat Penggilingan (Rp/Kg);2020;September;Rp4.850
GKG Tingkat Penggilingan (Rp/Kg);2020;September;Rp5.516
Beras Medium Tk. Penggilingan (Rp/Kg);2020;September;Rp9.234
Beras Premium Tk. Penggilingan (Rp/Kg);2020;September;Rp10.375
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;September;Rp3.481
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;September;Rp6.655
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;September;Rp16.566
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;September;Rp18.242
Bawang Merah Tk. Petani (Rp/Kg);2020;September;Rp19.081
Sapi Hidup (Rp/kg Berat Hidup);2020;September;Rp48.415
